company,cc,market_cap_usd,revenue_usd,employees,ticker
Brown–Forman,US,11820000000,3930000000,4900,BF.B
Brunello Cucinelli,IT,6058800000,1522800000,3539,BC.MI
Budimex,PL,4785000000,2322500000,5513,BDX
Budweiser Brewing Company APAC,CN,11150000000,5825641026,21000,1876
Budweiser Brewing Company APAC,HK,11150000000,5825641026,21000,1876
Builders FirstSource,US,7520000000,14820000000,28000,BLDR
Bukit Asam,ID,1770886076,2699367089,1672,PTBA.JK
Bunge Global,US,23860000000,80550000000,22000,BG
Bunzl,UK,11163300000,15049500000,26777,BNZL.L
Bupa Arabia,SA,6488000000,5592000000,52000,8210.SR
Burberry Group,UK,4775200000,3073400000,7299,BRBY.L
Bureau Veritas,FR,13046400000,7214400000,82049,BVI.PA
Buzzi,IT,8154000000,4892400000,10532,BZU.MI
Bénéteau,FR,527850000,916509600,6218,BEN.PA
BİM,TR,14813125000,23144062500,101663,BIMAS
C&A,BR,538888889,1479629630,14000,CEAB3
C.H. Robinson,US,24350000000,16200000000,11855,CHRW
CA Immo,AT,2192400000,303350400,241,CAI.VI
CAE,CA,8080882353,3610294118,13000,CAE
CAR Group,AU,6286666667,820000000,2500,CAR.AX
CATL (Contemporary Amperex Technology),CN,251388888889,65018055556,185839,300750
CBRE Group,US,39920000000,42200000000,155000,CBRE
CCL Industries,CA,11419117647,5676470588,26000,CCL.B
CD Projekt,PL,5815000000,219502500,808,CDR
CDW Corporation,US,16660000000,22900000000,14800,CDW
CF Industries,US,19360000000,7410000000,2900,CF
CFG Bank,MA,665000000,,,CFG
CG Power and Industrial Solutions,IN,17349397590,1496144578,3113,CGPOWER.NS
CGI,CA,14227941176,12014705882,94000,GIB.A
CIH Bank,MA,1249000000,,,CIH
CITIC Limited,CN,44978205128,134615384615,193011,0267
CITIC Limited,HK,44978205128,134615384615,193011,0267
CITIC Securities,CN,57473611111,11463888889,26823,600030
CJ,KR,3162962963,33977777778,62,001040.KS
CJ CheilJedang,KR,2192592593,20555555556,8150,097950.KS
CK Asset Holdings,CN,21680769231,7428205128,54000,1113
CK Asset Holdings,HK,21680769231,7428205128,54000,1113
CK Hutchison Holdings,CN,35771794872,35902564103,300000,0001
CK Hutchison Holdings,HK,35771794872,35902564103,300000,0001
CLP Holdings,HK,25102564103,11284615385,8539,0002
CLP Holdings Limited,CN,25102564103,11284615385,8539,0002
CME Group,US,91560000000,6760000000,3875,CME
CMGP Group,MA,528000000,,,CMGP
CMS Energy,US,22880000000,8820000000,8350,CMS
CNOOC,HK,152564102564,59375641026,22045,0883
CNOOC Limited,CN,143055555556,56590277778,22045,600938
CPFL Energia,BR,9966666667,8342592593,16040,CPFE3
CRH plc,US,65770000000,38060000000,83032,CRH
CRRC Corporation,CN,22863888889,38640277778,151602,601766
CSL,AU,36953333333,15400000000,29904,CSL.AX
CSN,BR,1320370370,8238888889,29000,CSNA3
CSN Mineração,BR,5874074074,3300000000,7796,CMIN3
CSPC Pharmaceutical Group,CN,12267948718,3710256410,19700,1093
CSPC Pharmaceutical Group,HK,12267948718,3710256410,19700,1093
CSX Corporation,US,97240000000,14510000000,23000,CSX
CTBC Financial Holding,TW,39062500000,18227812500,26419,2891
CTM,MA,106000000,,,CTM
CTT Correios de Portugal,PT,886164813,1468841128,11803,CTT
CVS Health,US,135890000000,405620000000,300000,CVS
Cadence Design Systems,US,92010000000,5530000000,13800,CDNS
Cairn Homes,IE,1674000000,1020178800,581,C5H.IR
Caixa Seguridade,BR,12455555556,1083333333,141,CXSE3
CaixaBank,ES,98550000000,16696800000,47257,CABK.MC
Camden Property Trust,US,11720000000,1580000000,1640,CPT
Cameco,CA,40772058824,2602941176,730,CCO
Campari,IT,7387200000,3294000000,4837,CPR.MI
Camtek,IL,7180000000,499090000,709,CAMT
Canadian Imperial Bank of Commerce,CA,111411764706,21250000000,50648,CM
Canadian National Railway,CA,80514705882,12705882353,23541,CNR
Canadian Natural Resources,CA,98588235294,28404411765,10750,CNQ
Canadian Pacific Kansas City,CA,83904411765,11014705882,19539,CP
Canadian Tire,CA,7654411765,12080882353,28927,CTC.A
Canara Bank,IN,13734939759,5814457831,81827,CANBK.NS
Canon Inc.,JP,25666666667,30800000000,165547,7751.T
Capgemini,FR,16232400000,24267600000,423405,CAP.PA
CapitaLand Ascendas REIT,SG,9395522388,1156716418,67,A17U.SI
CapitaLand Integrated Commercial Trust,SG,13582089552,1208955224,646,C38U.SI
CapitaLand Investment,SG,9276119403,1589552239,10000,9CI.SI
Capital One,US,121390000000,48110000000,76300,COF
Capitec Bank,ZA,29241621622,2292972973,17672,CPI.JO
Cardinal Health,US,52220000000,250740000000,57700,CAH
Carlsberg,DK,18953623188,12913043478,36998,CARL-B.CO
Carmila,FR,2484000000,611733600,259,CARM.PA
Carnival Corporation,US,34870000000,27310000000,101000,CCL
Carrefour,FR,12700800000,90536400000,298604,CA.PA
