HP Inc.	US	S&P500	Information Technology	Technology Hardware, Storage & Peripherals
Hubbell Incorporated	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Humana	US	S&P500	Health Care	Managed Health Care
Huntington Bancshares	US	S&P500	Financials	Regional Banks
Huntington Ingalls Industries	US	S&P500	Industrials	Aerospace & Defense
IBM	US	S&P500	Information Technology	IT Consulting & Other Services
IDEX Corporation	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Idexx Laboratories	US	S&P500	Health Care	Health Care Equipment
Illinois Tool Works	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Incyte	US	S&P500	Health Care	Biotechnology
Ingersoll Rand	US	S&P500	Industrials	Industrial Machinery & Supplies & Components
Insulet Corporation	US	S&P500	Health Care	Health Care Equipment
Intel	US	S&P500	Information Technology	Semiconductors
Interactive Brokers	US	S&P500	Financials	Investment Banking & Brokerage
Intercontinental Exchange	US	S&P500	Financials	Financial Exchanges & Data
International Flavors & Fragrances	US	S&P500	Materials	Specialty Chemicals
International Paper	US	S&P500	Materials	Paper & Plastic Packaging Products & Materials
Intuit	US	S&P500	Information Technology	Application Software
Intuitive Surgical	US	S&P500	Health Care	Health Care Equipment
Invesco	US	S&P500	Financials	Asset Management & Custody Banks
Invitation Homes	US	S&P500	Real Estate	Single-Family Residential REITs
IQVIA	US	S&P500	Health Care	Life Sciences Tools & Services
Iron Mountain	US	S&P500	Real Estate	Other Specialized REITs
J.B. Hunt	US	S&P500	Industrials	Cargo Ground Transportation
Jabil	US	S&P500	Information Technology	Electronic Manufacturing Services
Jack Henry & Associates	US	S&P500	Financials	Transaction & Payment Processing Services
Jacobs Solutions	US	S&P500	Industrials	Construction & Engineering
Johnson & Johnson	US	S&P500	Health Care	Pharmaceuticals
Johnson Controls	US	S&P500	Industrials	Building Products
JPMorgan Chase	US	S&P500	Financials	Diversified Banks
Kenvue	US	S&P500	Consumer Staples	Personal Care Products
Keurig Dr Pepper	US	S&P500	Consumer Staples	Soft Drinks & Non-alcoholic Beverages
KeyCorp	US	S&P500	Financials	Regional Banks
Keysight Technologies	US	S&P500	Information Technology	Electronic Equipment & Instruments
Kimberly-Clark	US	S&P500	Consumer Staples	Household Products
Kimco Realty	US	S&P500	Real Estate	Retail REITs
Kinder Morgan	US	S&P500	Energy	Oil & Gas Storage & Transportation
KKR & Co.	US	S&P500	Financials	Asset Management & Custody Banks
KLA Corporation	US	S&P500	Information Technology	Semiconductor Materials & Equipment
Kraft Heinz	US	S&P500	Consumer Staples	Packaged Foods & Meats
Kroger	US	S&P500	Consumer Staples	Food Retail
L3Harris	US	S&P500	Industrials	Aerospace & Defense
Labcorp	US	S&P500	Health Care	Health Care Services
Lam Research	US	S&P500	Information Technology	Semiconductor Materials & Equipment
Las Vegas Sands	US	S&P500	Consumer Discretionary	Casinos & Gaming
Leidos	US	S&P500	Industrials	Diversified Support Services
Lennar	US	S&P500	Consumer Discretionary	Homebuilding
Lennox International	US	S&P500	Industrials	Building Products
Lilly (Eli)	US	S&P500	Health Care	Pharmaceuticals
Linde plc	US	S&P500	Materials	Industrial Gases
Live Nation Entertainment	US	S&P500	Communication Services	Movies & Entertainment
Lockheed Martin	US	S&P500	Industrials	Aerospace & Defense
Loews Corporation	US	S&P500	Financials	Multi-line Insurance
Lowe's	US	S&P500	Consumer Discretionary	Home Improvement Retail
Lululemon Athletica	US	S&P500	Consumer Discretionary	Apparel, Accessories & Luxury Goods
Lumentum	US	S&P500	Information Technology	Communications Equipment
LyondellBasell	US	S&P500	Materials	Specialty Chemicals
M&T Bank	US	S&P500	Financials	Regional Banks
Marathon Petroleum	US	S&P500	Energy	Oil & Gas Refining & Marketing
Marriott International	US	S&P500	Consumer Discretionary	Hotels, Resorts & Cruise Lines
Marsh McLennan	US	S&P500	Financials	Insurance Brokers
Martin Marietta Materials	US	S&P500	Materials	Construction Materials
Marvell Technology	US	S&P500	Information Technology	Semiconductors
Masco	US	S&P500	Industrials	Building Products
Mastercard	US	S&P500	Financials	Transaction & Payment Processing Services
McCormick & Company	US	S&P500	Consumer Staples	Packaged Foods & Meats
McDonald's	US	S&P500	Consumer Discretionary	Restaurants
McKesson Corporation	US	S&P500	Health Care	Health Care Distributors
